episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,0.00,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.00,0.00
71,0.00,0.00
72,0.00,0.00
73,0.00,0.00
74,0.00,0.00
75,0.00,0.00
76,0.00,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,0.00,0.00
81,0.00,0.00
82,0.00,0.00
83,0.00,0.00
84,0.00,0.00
85,0.00,0.00
86,0.00,0.00
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,152.00,7.60
97,286.00,21.52
98,0.00,20.44
99,0.00,19.42
100,0.00,18.45
101,0.00,17.53
102,0.00,16.65
103,0.00,15.82
104,0.00,15.03
105,0.00,14.28
106,0.00,13.56
107,0.00,12.88
108,0.00,12.24
109,0.00,11.63
110,0.00,11.05
111,0.00,10.49
112,0.00,9.97
113,0.00,9.47
114,0.00,9.00
115,0.00,8.55
116,0.00,8.12
117,0.00,7.71
118,0.00,7.33
119,0.00,6.96
120,0.00,6.61
121,0.00,6.28
122,0.00,5.97
123,0.00,5.67
124,0.00,5.39
125,0.00,5.12
126,321.00,20.91
127,0.00,19.87
128,0.00,18.87
129,174.00,26.63
130,0.00,25.30
131,6.00,24.33
132,0.00,23.12
133,0.00,21.96
134,0.00,20.86
135,0.00,19.82
136,0.00,18.83
137,0.00,17.89
138,0.00,16.99
139,0.00,16.14
140,0.00,15.34
141,71.00,18.12
142,0.00,17.21
143,0.00,16.35
144,0.00,15.53
145,0.00,14.76
146,0.00,14.02
147,0.00,13.32
148,0.00,12.65
149,0.00,12.02
150,0.00,11.42
151,0.00,10.85
152,0.00,10.31
153,0.00,9.79
154,0.00,9.30
155,0.00,8.84
156,0.00,8.39
157,0.00,7.97
158,0.00,7.58
159,0.00,7.20
160,0.00,6.84
161,0.00,6.50
162,0.00,6.17
163,0.00,5.86
164,0.00,5.57
165,0.00,5.29
166,0.00,5.03
167,0.00,4.77
168,0.00,4.54
169,0.00,4.31
170,0.00,4.09
171,0.00,3.89
172,0.00,3.69
173,0.00,3.51
174,0.00,3.33
175,0.00,3.17
176,0.00,3.01
177,0.00,2.86
178,0.00,2.72
179,0.00,2.58
180,0.00,2.45
181,0.00,2.33
182,0.00,2.21
183,0.00,2.10
184,0.00,2.00
185,0.00,1.90
186,0.00,1.80
187,0.00,1.71
188,0.00,1.63
189,0.00,1.54
190,0.00,1.47
191,0.00,1.39
192,0.00,1.32
193,0.00,1.26
194,0.00,1.20
195,0.00,1.14
196,0.00,1.08
197,0.00,1.02
198,0.00,0.97
199,0.00,0.92
200,0.00,0.88
